name,id,house,senate,orphan
Lawrence Precinct 41 Part 2,41.2,,,x
Lawrence Precinct 41 Part 5,41.5,45,3
Kanwaka Township Precinct 56 Part 7,56.7,,19
Clinton Township Precinct 51 Part 3,51.3,45,
Clinton Township Precinct 51 Part 5,51.5,45,19
North Wakarusa Precinct 64 Part 1,64.1,45,2
North Wakarusa Precinct 64 Part 6,64.6,45,2
West Wakarusa Precinct 66 Part 4,66.4,,,x
West Wakarusa Precinct 66 Part 9,66.9,,3
West Wakarusa Precinct 66 Part 8,66.8,45,3
